region,carrier_name,observations,sample_count_total,avg_median_download_kbps,avg_median_latency_ms,below_peer_download_rate,above_peer_latency_rate,avg_download_gap_pct_vs_peer,avg_latency_gap_pct_vs_peer,avg_peer_anomaly_score,flagged_peer_anomalies,is_worst_carrier_in_region
Alexandria,Operator C,9,2600.0,145667.67076923078,41.96423076923077,0.8888888888888888,1.0,-21.40279799491804,18.061040551268974,1.4205347548119434,1,True
Alexandria,Operator B,9,13836.0,152361.56287944491,36.80326684012721,0.2222222222222222,0.6666666666666666,22.77268792961034,-0.5322536208619412,0.7514204904913552,0,False
Alexandria,Operator A,9,2185.0,134547.166590389,30.621967963386727,0.5555555555555556,0.0,-5.08643527255913,-19.14757683416997,0.7445941886129686,0,False
Assiut,Operator C,9,1822.0,160931.8600439078,69.61196487376509,0.7777777777777778,1.0,-22.989440337138152,66.57741443197632,1.6249311569488336,4,True
Assiut,Operator A,6,778.0,81283.43573264782,52.22879177377892,0.8333333333333334,1.0,-25.040927562692527,7.900056204074593,1.3418101648865763,0,False
Assiut,Operator B,9,6434.0,190182.81255828412,40.720547093565436,0.1111111111111111,0.0,41.36286194157915,-36.35119821292962,0.5482283163392678,0,False
Cairo,Operator B,9,50932.0,88593.55079321448,37.55122516296238,1.0,1.0,-36.21662594553205,26.026656469365168,1.6272549573861397,1,True
Cairo,Operator C,9,15745.0,165163.21124166402,28.90327087964433,0.3333333333333333,0.1111111111111111,39.56899003952125,-16.731287423711215,0.6348375340392509,0,False
Cairo,Operator A,9,15956.0,127820.43218851843,29.668087239909752,0.0,0.0,47.63333851451298,-16.2256764238078,0.5096273097916626,0,False
Dakahlia,Operator B,9,195221.0,91066.61071810922,35.03091880484169,0.6666666666666666,1.0,-24.11071080075073,42.16726680563246,1.5773984430097687,2,True
Dakahlia,Operator C,9,65433.0,95085.17297082512,25.6756835236043,0.7777777777777778,0.0,-13.277704146652589,-16.229927672679864,0.7855209094990034,0,False
Dakahlia,Operator A,9,90360.0,122187.5256861443,23.145717131474104,0.3333333333333333,0.0,57.781472064452075,-28.408710079448028,0.5823849058925993,0,False
Fayoum,Operator C,9,6220.0,36372.24131832797,46.32299035369775,1.0,0.8888888888888888,-34.06835994298103,16.010050534038317,1.4635261219666365,0,True
Fayoum,Operator B,9,84887.0,53274.51938459364,40.21177565469389,0.5555555555555556,0.4444444444444444,-10.886209557893814,-2.7703203638160936,0.8742387023150131,0,False
Fayoum,Operator A,9,5628.0,77744.4973347548,36.30117270788912,0.1111111111111111,0.0,67.8300813678515,-11.136755129921239,0.5138492645247662,0,False
Gharbia,Operator C,9,1781.0,199878.25154407637,57.27288040426726,0.5555555555555556,1.0,-5.181465937610225,42.08294427940113,1.398332594754597,1,True
Gharbia,Operator A,6,605.0,100142.06446280991,40.23801652892562,0.6666666666666666,0.0,-15.83949243020803,-11.887054294383987,0.8849177816262456,0,False
Gharbia,Operator B,9,5609.0,198901.30950258512,40.35960064182564,0.3333333333333333,0.0,13.484505955055715,-23.115345980792437,0.6129354419264109,0,False
Giza,Operator C,9,42263.0,122849.91292620022,27.380900551309658,1.0,1.0,-36.37674770522406,27.091823667165645,1.658018442938325,3,True
Giza,Operator A,9,50719.0,114208.50904000473,25.630986415347305,0.8888888888888888,1.0,-16.976061157005244,15.62353380945453,1.3816203500323443,0,False
Giza,Operator B,9,106296.0,176103.01475126063,19.812118988484986,0.0,0.0,53.34194627984962,-24.77880075973784,0.5107598863474616,0,False
Ismailia,Operator C,9,4678.0,153472.92667806754,37.98546387345019,0.6666666666666666,1.0,-10.725286993272912,46.47771469978925,1.4832839776726052,3,True
Ismailia,Operator A,9,6401.0,72493.62974535229,28.83299484455554,1.0,0.6666666666666666,-35.78233982117454,5.531181655703228,1.3300535534440259,0,False
Ismailia,Operator B,9,37806.0,153184.01132095433,25.599693170396232,0.0,0.0,40.805281307721486,-21.12683239423783,0.5097600029206397,0,False
Minya,Operator B,9,15981.0,123891.8441899756,44.49452474813842,0.2222222222222222,1.0,5.551639533960115,12.010802717328215,1.0590941109881704,0,True
