region,carrier_name,observations,sample_count_total,avg_median_download_kbps,avg_median_latency_ms,below_peer_download_rate,above_peer_latency_rate,avg_download_gap_pct_vs_peer,avg_latency_gap_pct_vs_peer,avg_peer_anomaly_score,flagged_peer_anomalies,is_worst_by_download_in_region,is_worst_by_latency_in_region,is_worst_by_peer_anomaly_score_in_region,is_worst_carrier_in_region
Alexandria,Operator C,9,2600,145667.67076923078,41.96423076923077,0.8888888888888888,1.0,-21.40279799491804,18.061040551268974,44.657660558265235,1,False,True,True,True
Alexandria,Operator A,9,2185,134547.166590389,30.621967963386727,0.5555555555555556,0.0,-5.08643527255913,-19.14757683416997,12.228139417533797,0,True,False,False,False
Alexandria,Operator B,9,13836,152361.56287944491,36.80326684012721,0.2222222222222222,0.6666666666666666,22.77268792961034,-0.5322536208619412,2.530628044243982,0,False,False,False,False
Assiut,Operator C,7,1541,136906.27125243348,71.68721609344581,0.7142857142857143,1.0,-23.129823730382313,68.84467183652595,94.35221043678798,4,False,True,True,True
Assiut,Operator A,7,816,87572.65073529411,51.67524509803921,0.8571428571428571,0.8571428571428571,-25.74045329622183,7.174299878793417,40.200691977570116,0,True,False,False,False
Assiut,Operator B,7,5544,161611.28102453102,41.18614718614719,0.14285714285714285,0.0,44.661855440244125,-36.16333682358936,0.546588336985153,0,False,False,False,False
Cairo,Operator B,9,50932,88593.55079321448,37.55122516296238,1.0,1.0,-36.21662594553205,26.026656469365168,62.24328241489722,1,True,True,True,True
Cairo,Operator C,9,15745,165163.21124166402,28.90327087964433,0.3333333333333333,0.1111111111111111,39.56899003952125,-16.731287423711215,8.037374662532034,0,False,False,False,False
Cairo,Operator A,9,15956,127820.43218851843,29.668087239909752,0.0,0.0,47.63333851451298,-16.2256764238078,0.0,0,False,False,False,False
Dakahlia,Operator B,9,195221,91066.61071810922,35.03091880484169,0.6666666666666666,1.0,-24.11071080075073,42.16726680563246,69.73237509754601,0,True,True,True,True
Dakahlia,Operator C,9,65433,95085.17297082512,25.6756835236043,0.7777777777777778,0.0,-13.277704146652589,-16.229927672679864,13.470042511464767,0,False,False,False,False
Dakahlia,Operator A,9,90360,122187.5256861443,23.145717131474104,0.3333333333333333,0.0,57.781472064452075,-28.408710079448028,1.1681226184303668,0,False,False,False,False
Fayoum,Operator C,9,6220,36372.24131832797,46.32299035369775,1.0,0.8888888888888888,-34.06835994298103,16.010050534038317,50.086624600141946,0,True,True,True,True
Fayoum,Operator B,9,84887,53274.51938459364,40.21177565469389,0.5555555555555556,0.4444444444444444,-10.886209557893814,-2.7703203638160936,16.54471401996091,0,False,False,False,False
Fayoum,Operator A,9,5628,77744.4973347548,36.30117270788912,0.1111111111111111,0.0,67.8300813678515,-11.136755129921239,0.04552019994018158,0,False,False,False,False
Gharbia,Operator C,6,1358,139160.33063328423,59.64359351988218,0.6666666666666666,1.0,-9.31265864323834,46.07239829964956,66.4120007930635,2,False,True,True,True
Gharbia,Operator A,6,605,100142.06446280991,40.23801652892562,0.6666666666666666,0.0,-15.83949243020803,-11.887054294383987,24.320626228105798,0,True,False,False,False
Gharbia,Operator B,6,4306,147766.11147236414,40.95448211797492,0.16666666666666666,0.0,19.660636089420986,-23.370132229725925,0.32460961419981815,0,False,False,False,False
Giza,Operator C,9,42263,122849.91292620022,27.380900551309658,1.0,1.0,-36.37674770522406,27.091823667165645,63.46857137238971,3,False,True,True,True
Giza,Operator A,9,50719,114208.50904000473,25.630986415347305,0.8888888888888888,1.0,-16.976061157005244,15.62353380945453,34.19029875141422,0,True,False,False,False
Giza,Operator B,9,106296,176103.01475126063,19.812118988484986,0.0,0.0,53.34194627984962,-24.77880075973784,0.0,0,False,False,False,False
Ismailia,Operator C,9,4678,153472.92667806754,37.98546387345019,0.6666666666666666,1.0,-10.725286993272912,46.47771469978925,64.5085376712204,3,False,True,True,True
Ismailia,Operator A,9,6401,72493.62974535229,28.83299484455554,1.0,0.6666666666666666,-35.78233982117454,5.531181655703228,41.44916401391856,0,True,False,False,False
Ismailia,Operator B,9,37806,153184.01132095433,25.599693170396232,0.0,0.0,40.805281307721486,-21.12683239423783,0.0,0,False,False,False,False
Minya,Operator A,9,2259,79722.4001770695,39.90659583886676,0.6666666666666666,0.0,-16.30461174767594,-9.621094770666808,20.507181868281847,0,True,False,True,True
Minya,Operator B,9,15981,123891.8441899756,44.49452474813842,0.2222222222222222,1.0,5.551639533960115,12.010802717328215,16.65368159675821,0,False,True,False,False
Minya,Operator C,9,2814,157920.01385927506,39.291755508173416,0.5555555555555556,0.1111111111111111,12.029391715087009,-9.70346121836923,11.044652274781084,0,False,False,False,False
Monufia,Operator C,7,455,57896.27252747253,47.213186813186816,0.8571428571428571,1.0,-42.19593039637719,33.05201579325459,75.7044259240545,3,True,True,True,True
Monufia,Operator B,7,4282,115754.78094348435,36.578468005604854,0.5714285714285714,0.8571428571428571,16.45412260616333,4.215502013159798,20.46814426286871,0,False,False,False,False
