aggregate_date,week_label,region,carrier_name,5G,LTE,Multi-RAT,fiveg_minus_lte_kbps,fiveg_minus_lte_pct,fiveg_underperform_lte
2026-03-01,2026-03-01,Alexandria,Operator A,323356.0421052632,65839.88214285714,112277.0,257516.1599624061,391.12487990737327,False
2026-03-01,2026-03-01,Alexandria,Operator B,376209.9082687338,81423.06985294117,156634.0449342942,294786.8384157927,362.0433851833509,False
2026-03-01,2026-03-01,Alexandria,Operator C,287551.5252525252,27553.23888888889,194561.488172043,259998.28636363635,943.621500949869,False
2026-03-01,2026-03-01,Assiut,Operator B,382141.20556745183,79445.51007751939,164399.46229802514,302695.69548993243,381.01045004881394,False
2026-03-01,2026-03-01,Assiut,Operator C,317019.4256756757,36229.80113636364,120177.46802325582,280789.62453931203,775.023918796742,False
2026-03-01,2026-03-01,Cairo,Operator A,284163.43988816405,60382.208729714606,114436.93859011628,223781.23115844943,370.60789240113496,False
2026-03-01,2026-03-01,Cairo,Operator B,252342.37003806417,25972.38506248184,60550.03575547866,226369.98497558234,871.5795042734943,False
2026-03-01,2026-03-01,Cairo,Operator C,296912.6758045292,19316.55339049104,133252.57938429608,277596.12241403817,1437.0893026428328,False
2026-03-01,2026-03-01,Dakahlia,Operator A,282731.8698165005,46208.62717770035,103565.85219164118,236523.24263880018,511.85948833585576,False
2026-03-01,2026-03-01,Dakahlia,Operator B,325569.1304269663,25391.518841410954,66866.93605614926,300177.61158555537,1182.1963603689455,False
2026-03-01,2026-03-01,Dakahlia,Operator C,241184.31346704872,22048.488363954504,71314.05259217668,219135.82510309422,993.8814012363028,False
2026-03-01,2026-03-01,Fayoum,Operator A,215386.54,58594.24868421053,77496.46471226927,156792.29131578948,267.5898997541725,False
2026-03-01,2026-03-01,Fayoum,Operator B,230593.41351744183,26236.54341371569,39077.09701581263,204356.87010372613,778.9016521013755,False
2026-03-01,2026-03-01,Fayoum,Operator C,109581.05555555556,19772.486725663715,30058.985849056604,89808.56882989185,454.2097818850714,False
2026-03-01,2026-03-01,Gharbia,Operator B,417009.3228699552,88241.32437275986,164218.95679012343,328767.99849719537,372.57826855405426,False
2026-03-01,2026-03-01,Gharbia,Operator C,416924.9253731343,58141.834285714285,181012.5618729097,358783.09108742,617.0825112333524,False
2026-03-01,2026-03-01,Giza,Operator A,253829.7953367876,69613.69856549641,111150.4023493118,184216.09677129117,264.6262166317316,False
2026-03-01,2026-03-01,Giza,Operator B,371817.4379485992,72128.01409154508,149502.2166167166,299689.42385705415,415.4965690261311,False
2026-03-01,2026-03-01,Giza,Operator C,280019.06879073137,24136.26740947075,94992.13620617986,255882.80138126062,1060.1589592964801,False
2026-03-01,2026-03-01,Ismailia,Operator A,168435.06451612903,56364.94379391101,69555.0141509434,112070.12072221802,198.82947303555147,False
2026-03-01,2026-03-01,Ismailia,Operator B,317378.8173363095,72075.5112704918,138623.81639956433,245303.3060658177,340.3420964233195,False
2026-03-01,2026-03-01,Ismailia,Operator C,292881.9953379953,26390.86128364389,112701.9497816594,266491.1340543514,1009.7856647805316,False
2026-03-01,2026-03-01,Minya,Operator A,113155.09803921568,64830.45925925926,77960.22752808989,48324.63877995642,74.54002228598213,False
2026-03-01,2026-03-01,Minya,Operator B,299079.3513761468,59864.03778184034,110340.84723809524,239215.31359430644,399.5976924678342,False
2026-03-01,2026-03-01,Minya,Operator C,248696.78294573643,35319.73529411765,127768.07621247112,213377.04765161878,604.1298041300888,False
2026-03-01,2026-03-01,Monufia,Operator B,305375.82506527414,47881.0,118002.58918296894,257494.82506527414,537.7808004537794,False
2026-03-01,2026-03-01,Port Said,Operator A,337849.4687641467,64205.016475095785,139115.28381279518,273644.4522890509,426.2041617810248,False
2026-03-01,2026-03-01,Port Said,Operator B,386743.7334985905,52859.81343442973,170473.39108560648,333883.9200641607,631.6403679296542,False
2026-03-01,2026-03-01,Port Said,Operator C,354194.34908200736,29368.573333333334,175630.8973221236,324825.77574867406,1106.0318526947196,False
2026-03-01,2026-03-01,Sharqia,Operator A,306296.5675675676,55052.87672747374,66798.19749070633,251243.69084009383,456.3679607222278,False
2026-03-01,2026-03-01,Sharqia,Operator B,233390.35146067417,16315.4410388885,28503.069817232372,217074.91042178567,1330.4875418591444,False
2026-03-01,2026-03-01,Sharqia,Operator C,156559.2186311787,26633.0423572744,46616.82251908397,129926.17627390429,487.83828197688797,False
2026-03-01,2026-03-01,Sohag,Operator A,356714.07692307694,37167.88292682927,40407.832,319546.19399624766,859.7374099173843,False
2026-03-01,2026-03-01,Sohag,Operator B,274104.1385542169,15128.127908895858,22048.458760878035,258976.01064532102,1711.8840626210877,False
2026-03-01,2026-03-01,Sohag,Operator C,97338.6346153846,9477.6640625,27003.13888888889,87860.9705528846,927.0319139134881,False
2026-03-08,2026-03-08,Alexandria,Operator A,325395.4504504505,71841.08940397351,99639.60243902438,253554.36104647696,352.9378008463955,False
2026-03-08,2026-03-08,Alexandria,Operator B,371472.2682255846,74251.56607142858,137163.47861420017,297220.702154156,400.2887991187087,False
2026-03-08,2026-03-08,Alexandria,Operator C,301243.52040816325,37230.88188976378,105245.55505617976,264012.63851839944,709.122709744318,False
2026-03-08,2026-03-08,Assiut,Operator A,216336.05263157896,95339.71317829458,111871.27272727272,120996.33945328438,126.91074413766005,False
