aggregate_date,place_name,region,place_type,carrier_name,aggregation_period,technology_type,sample_count,mean_download_kbps,mean_upload_kbps,mean_latency_ms,median_download_kbps,median_upload_kbps,median_latency_ms
2026-03-01,City_877BDE15,Egypt,country,Operator C,Week,Multi-RAT,1705,194829,19829,33,84692,11021,26
2026-03-01,City_877BDE15,Egypt,country,Operator C,Week,LTE,812,40034,11147,40,24028,7241,31
2026-03-01,City_877BDE15,Egypt,country,Operator C,Week,5G,917,335004,27798,25,286918,17833,20
2026-03-01,City_877BDE15,Egypt,country,Operator A,Week,LTE,1165,77461,15156,33,57857,10010,28
2026-03-01,City_877BDE15,Egypt,country,Operator A,Week,5G,753,328387,34781,22,275376,27530,19
2026-03-01,City_877BDE15,Egypt,country,Operator A,Week,Multi-RAT,1876,173951,22692,29,99892,15182,25
2026-03-01,City_877BDE15,Egypt,country,Operator B,Week,5G,2478,358714,35593,29,336038,24588,27
2026-03-01,City_877BDE15,Egypt,country,Operator B,Week,LTE,4840,53847,13973,44,26648,8433,37
2026-03-01,City_877BDE15,Egypt,country,Operator B,Week,Multi-RAT,7248,154427,21004,40,54977,12188,34
2026-03-01,City_877BDE15,Egypt,country,Operator A,Week,LTE,2065,75935,15139,34,54503,10010,28
2026-03-01,City_877BDE15,Egypt,country,Operator A,Week,Multi-RAT,3312,172873,23016,29,98778,15211,26
2026-03-01,City_877BDE15,Egypt,country,Operator A,Week,5G,1334,330730,35898,22,284575,28248,19
2026-03-01,City_877BDE15,Egypt,country,Operator B,Week,5G,4546,362187,36120,29,339857,25802,26
2026-03-01,City_877BDE15,Egypt,country,Operator B,Week,Multi-RAT,12113,167429,22243,38,70090,13412,33
2026-03-01,City_877BDE15,Egypt,country,Operator B,Week,LTE,7801,57587,14595,43,30697,9065,37
2026-03-01,City_877BDE15,Egypt,country,Operator C,Week,5G,1700,330664,27520,26,285490,17718,20
2026-03-01,City_877BDE15,Egypt,country,Operator C,Week,Multi-RAT,3163,191224,19697,33,86956,10908,27
2026-03-01,City_877BDE15,Egypt,country,Operator C,Week,LTE,1522,39746,11369,40,23995,7288,32
2026-03-01,City_877BDE15,Egypt,country,Operator A,Week,5G,1895,325646,35017,23,282802,28197,19
2026-03-01,City_877BDE15,Egypt,country,Operator B,Week,5G,6410,361616,36231,28,335858,26089,26
2026-03-01,City_877BDE15,Egypt,country,Operator B,Week,Multi-RAT,16433,172579,22774,37,77098,14116,32
2026-03-01,City_877BDE15,Egypt,country,Operator B,Week,LTE,10461,60277,14955,42,33311,9551,36
