aggregate_date,region,carrier_name,technology_type,n_source_rows,n_unique_localities,sample_count_total,mean_download_kbps,mean_upload_kbps,mean_latency_ms,median_download_kbps_approx,median_upload_kbps_approx,median_latency_ms_approx,week_label,mean_minus_median_download,mean_minus_median_upload,mean_minus_median_latency,download_median_gap_pct,latency_median_gap_pct
2026-03-01,Alexandria,Operator A,5G,7,1,95,387527.0210526316,25050.41052631579,25.989473684210527,323356.04210526316,14374.905263157894,25.378947368421052,2026-03-01,64170.97894736845,10675.505263157896,0.6105263157894747,19.84530071854314,2.4056408129406925
2026-03-01,Alexandria,Operator A,LTE,54,11,280,83041.11785714286,11382.528571428571,37.94285714285714,65839.88214285714,7866.121428571429,33.42142857142857,2026-03-01,17201.23571428572,3516.4071428571424,4.521428571428572,26.125860427518788,13.528531737550761
2026-03-01,Alexandria,Operator A,Multi-RAT,54,11,359,153778.94150417828,14765.715877437326,35.79387186629526,112277.0,9743.211699164345,31.615598885793872,2026-03-01,41501.94150417828,5022.50417827298,4.17827298050139,36.96388530525244,13.215859030836995
2026-03-01,Alexandria,Operator B,5G,19,3,774,424300.1950904393,35962.34496124031,34.99612403100775,376209.9082687338,24854.61111111111,33.12532299741602,2026-03-01,48090.286821705464,11107.733850129203,1.8708010335917322,12.782833669376318,5.647646164046963
2026-03-01,Alexandria,Operator B,LTE,351,70,1632,96968.94117647059,15995.157475490196,41.6985294117647,81423.06985294117,12672.598651960785,37.955269607843135,2026-03-01,15545.871323529413,3322.558823529411,3.7432598039215677,19.092710888458182,9.862292753014867
2026-03-01,Alexandria,Operator B,Multi-RAT,365,72,2359,201507.765578635,22263.516320474777,39.6456125476897,156634.0449342942,15640.995760915643,36.532852903772785,2026-03-01,44873.72064434082,6622.520559559134,3.1127596439169167,28.64876576683232,8.520439540037835
2026-03-01,Alexandria,Operator C,5G,7,1,297,293361.59932659933,22524.882154882154,37.27272727272727,287551.5252525252,16025.350168350169,35.255892255892256,2026-03-01,5810.074074074102,6499.531986531985,2.0168350168350173,2.020533213646405,5.7205615509502445
2026-03-01,Alexandria,Operator C,LTE,54,13,180,36162.427777777775,14195.56111111111,60.81666666666667,27553.23888888889,12124.216666666667,58.86666666666667,2026-03-01,8609.188888888886,2071.344444444443,1.9500000000000028,31.24565109606996,3.3125707814269587
2026-03-01,Alexandria,Operator C,Multi-RAT,60,14,465,193486.9247311828,19204.62580645161,46.888172043010755,194561.488172043,14060.135483870969,44.744086021505375,2026-03-01,-1074.563440860191,5144.490322580643,2.1440860215053803,-0.5523001756185155,4.791886955685869
2026-03-01,Assiut,Operator A,LTE,34,6,111,57209.22522522522,11711.162162162162,50.27927927927928,52707.45945945946,7978.396396396396,50.486486486486484,2026-03-01,4501.765765765762,3732.7657657657655,-0.20720720720720465,8.541041082104035,-0.41042112776587647
2026-03-01,Assiut,Operator A,Multi-RAT,34,6,136,93497.48529411765,14365.360294117647,55.5735294117647,67225.83823529411,11464.485294117647,48.47794117647059,2026-03-01,26271.64705882354,2900.875,7.095588235294116,39.079686841347126,14.636735932049138
2026-03-01,Assiut,Operator B,5G,38,7,467,390857.5267665953,46836.49892933619,38.97644539614561,382141.20556745183,41000.15203426124,37.62526766595289,2026-03-01,8716.32119914348,5836.346895074945,1.3511777301927168,2.2809163398645738,3.591144499459329
2026-03-01,Assiut,Operator B,LTE,98,17,645,98495.93798449612,16292.88062015504,44.44961240310077,79445.51007751939,13127.91472868217,42.1953488372093,2026-03-01,19050.427906976736,3164.9658914728698,2.2542635658914705,23.97923795616414,5.342445620223392
2026-03-01,Assiut,Operator B,Multi-RAT,104,18,1114,211885.31508078994,27825.07540394973,43.59964093357271,164399.46229802514,19720.184919210053,40.769299820466784,2026-03-01,47485.85278276479,8104.890484739677,2.8303411131059235,28.884433147769013,6.9423343681881216
2026-03-01,Assiut,Operator C,5G,18,3,148,338589.91891891893,33942.27702702703,56.027027027027025,317019.4256756757,27719.391891891893,53.182432432432435,2026-03-01,21570.493243243254,6222.885135135133,2.8445945945945894,6.804155044211954,5.348748570702569
2026-03-01,Assiut,Operator C,LTE,57,12,176,43296.85227272727,12743.744318181818,82.24431818181819,36229.80113636364,10968.335227272728,79.86363636363636,2026-03-01,7067.051136363632,1775.40909090909,2.3806818181818272,19.50618252019737,2.980933409220273
2026-03-01,Assiut,Operator C,Multi-RAT,57,12,344,166789.20639534883,20964.787790697676,72.875,120177.46802325582,15175.828488372093,71.44476744186046,2026-03-01,46611.73837209301,5788.959302325582,1.4302325581395365,38.7857550494183,2.0018716686332776
2026-03-01,Cairo,Operator A,5G,25,5,1073,297112.3737185461,40906.77446411929,28.182665424044735,284163.43988816405,35015.86393289841,22.24883504193849,2026-03-01,12948.93383038207,5890.910531220878,5.933830382106244,4.556861303297243,26.67029698822938
2026-03-01,Cairo,Operator A,LTE,96,18,1787,76140.0503637381,17274.52210408506,37.23111359820929,60382.208729714606,12640.29602686066,31.21040850587577,2026-03-01,15757.841634023498,4634.226077224399,6.020705092333522,26.0968287936591,19.29069621501444
2026-03-01,Cairo,Operator A,Multi-RAT,103,20,2752,158163.03015988372,25922.47020348837,34.00799418604651,114436.93859011628,18389.671875,29.702398255813954,2026-03-01,43726.09156976745,7532.79832848837,4.305595930232556,38.20977047138868,14.495785468736614
2026-03-01,Cairo,Operator B,5G,42,7,3678,274725.4282218597,32205.47688961392,34.85671560630777,252342.37003806417,25256.609026644917,32.976345840130506,2026-03-01,22383.05818379551,6948.867862969004,1.8803697661772674,8.870114907940025,5.702177479861806
2026-03-01,Cairo,Operator B,LTE,235,44,6882,44284.42879976751,13474.316332461494,51.00770124963673,25972.385062481837,8315.531967451323,42.166957279860505,2026-03-01,18312.043737285676,5158.784365010171,8.840743969776227,70.50582260055187,20.966046734414682
2026-03-01,Cairo,Operator B,Multi-RAT,242,47,10404,121301.36870434448,19398.737985390235,47.1377354863514,60550.03575547866,12435.16801230296,39.84803921568628,2026-03-01,60751.33294886582,6963.569973087275,7.289696270665125,100.33244768706673,18.29373894963323
2026-03-01,Cairo,Operator C,5G,14,2,1678,332840.35101311083,34638.1978545888,29.046483909415972,296912.6758045292,25395.28665077473,22.81823599523242,2026-03-01,35927.67520858161,9242.911203814067,6.228247914183552,12.10041811493235,27.29504557444697
2026-03-01,Cairo,Operator C,LTE,69,14,1283,33284.50194855807,11019.042088854249,44.886204208885424,19316.553390491037,7612.241621200312,36.21122369446609,2026-03-01,13967.948558067033,3406.8004676539367,8.674980514419332,72.31077033102105,23.95660690070816
2026-03-01,Cairo,Operator C,Multi-RAT,69,14,2891,201518.3306814251,24381.86717398824,36.26115530958146,133252.57938429608,14968.810446212383,29.7046004842615,2026-03-01,68265.75129712903,9413.056727775858,6.55655482531996,51.230341365665296,22.072523172947044
2026-03-01,Dakahlia,Operator A,5G,87,16,6921,325924.896402254,37384.793093483604,19.680537494581706,282731.8698165005,29540.10865481867,17.098685161103887,2026-03-01,43193.02658575348,7844.684438664935,2.581852333477819,15.277027882914915,15.099712692242678
2026-03-01,Dakahlia,Operator A,LTE,338,64,8323,67447.06728343146,15093.079778925869,31.69386038687973,46208.62717770035,10103.450318394809,26.80932356121591,2026-03-01,21238.44010573111,4989.6294605310595,4.884536825663822,45.96206683236089,18.219545206019696
2026-03-01,Dakahlia,Operator A,Multi-RAT,355,67,14715,182811.25524974515,25028.42351342168,26.621406727828745,103565.85219164118,17207.098267074412,22.803805640502887,2026-03-01,79245.40305810397,7821.325246347267,3.8176010873258583,76.51692269326963,16.74107009816485
2026-03-01,Dakahlia,Operator B,5G,120,18,11125,348986.3413932584,38530.73114606742,29.05276404494382,325569.1304269663,28926.746606741573,26.06912359550562,2026-03-01,23417.21096629213,9603.984539325844,2.9836404494382016,7.19270003749487,11.445112216785795
2026-03-01,Dakahlia,Operator B,LTE,532,103,17435,48390.32721537138,14125.646802408948,45.13679380556352,25391.518841410954,8768.294235732721,38.8041296243189,2026-03-01,22998.808373960423,5357.352566676227,6.332664181244624,90.5767335841751,16.319562486142935
2026-03-01,Dakahlia,Operator B,Multi-RAT,549,104,28353,162939.432299933,23356.397700419708,39.59108383592565,66866.93605614926,14410.553803830282,34.42415264698621,2026-03-01,96072.49624378372,8945.843896589426,5.166931188939444,143.67713239187464,15.009610380030086
2026-03-01,Dakahlia,Operator C,5G,62,11,5235,269099.8993314231,30626.75358166189,23.40649474689589,241184.31346704872,21791.63782234957,20.674307545367718,2026-03-01,27915.585864374385,8835.11575931232,2.7321872015281734,11.574378724339503,13.215374665065127
2026-03-01,Dakahlia,Operator C,LTE,230,43,5715,35368.056517935256,10510.520034995625,37.91198600174978,22048.488363954504,6725.187926509187,29.958180227471566,2026-03-01,13319.568153980752,3785.3321084864383,7.953805774278216,60.41034620657242,26.549695989159577
2026-03-01,Dakahlia,Operator C,Multi-RAT,247,45,10686,145403.90520306944,19963.98671158525,31.524705221785513,71314.05259217668,11239.237881340072,25.413812464907355,2026-03-01,74089.85261089276,8724.748830245178,6.110892756878158,103.89236050654705,24.045556979364587
2026-03-01,Fayoum,Operator A,5G,35,7,150,223160.01333333334,24562.4,30.62,215386.54,16076.373333333333,29.48,2026-03-01,7773.473333333328,8486.026666666668,1.1400000000000006,3.6090803693366014,3.8670284938941673
2026-03-01,Fayoum,Operator A,LTE,318,66,760,65446.538157894734,17426.417105263157,36.57631578947368,58594.24868421053,15399.897368421052,35.79736842105263,2026-03-01,6852.289473684206,2026.519736842105,0.7789473684210506,11.694474504851364,2.1759905903109553
